date,Hong Kong SAR,Ireland,Korea,United States
2022-08-28,0,2,0,0
2022-09-11,0,21,15,5
2022-09-18,0,12,18,5
2022-09-25,0,44,22,4
2022-10-02,0,43,13,1
2022-10-09,0,25,11,1
2022-10-16,0,35,9,3
2022-10-23,0,50,29,2
2022-10-30,0,31,16,1
2022-11-06,0,50,18,3
2022-11-13,0,27,28,3
2022-11-20,0,20,25,1
2022-11-27,0,15,25,0
2022-12-04,0,56,31,4
2022-12-11,0,34,20,2
2022-12-18,0,19,24,9
2022-12-25,0,26,26,0
2023-01-01,0,49,28,0
2023-01-08,0,36,32,0
2023-01-15,0,44,28,2
2023-01-22,0,58,29,2
2023-01-29,0,22,12,6
2023-02-05,0,47,30,4
2023-02-12,0,86,41,5
2023-02-19,0,66,43,5
2023-02-26,0,59,46,10
2023-03-05,0,103,38,4
2023-03-12,0,82,29,13
2023-03-19,0,69,25,8
2023-03-26,0,78,39,12
2023-04-02,0,97,52,28
2023-04-16,0,137,145,143
2023-04-23,0,214,180,265
2023-04-30,0,310,218,272
2023-05-07,0,310,289,309
2023-05-14,0,702,280,376
2023-05-21,0,371,439,392
2023-05-28,0,429,649,414
2023-06-04,0,426,734,431
2023-06-11,0,523,841,522
2023-06-18,0,567,979,576
2023-06-25,0,584,1026,676
2023-07-02,0,575,886,741
2023-07-09,0,642,965,658
2023-07-16,0,707,956,876
2023-07-23,0,746,1042,866
2023-07-30,0,770,1188,875
2023-08-06,0,751,1069,843
2023-08-13,0,750,1246,1054
2023-08-20,0,808,1366,988
2023-08-27,0,891,1521,1862
2023-09-03,0,1000,1625,2474
2023-09-10,0,1468,1696,2174
2023-09-17,0,1860,1755,2381
2023-09-24,0,1767,1998,1776
2023-10-01,0,1934,1644,1955
2023-10-08,0,1837,1499,2003
2023-10-15,0,2275,1561,2270
2023-10-22,0,2233,1746,2386
2023-10-29,0,2091,1829,2489
2023-11-05,0,2219,1848,2835
2023-11-12,0,2673,1433,3063
2023-11-19,0,2839,1386,3064
2023-11-26,0,3202,1692,2980
2023-12-03,0,3452,1690,3305
2023-12-10,0,3212,1772,3715
2023-12-17,0,3598,1640,3865
2023-12-24,0,3406,1604,3679
2023-12-31,0,2494,1523,2977
2024-01-07,0,3275,1792,3553
2024-01-14,0,3428,1995,4031
2024-01-21,0,3565,2511,3850
2024-01-28,378,3651,2143,4126
2024-02-04,2460,4486,563,4562
2024-02-11,2331,5377,521,5010
2024-02-18,2255,5723,466,4846
2024-02-25,2511,5254,496,4553
2024-03-03,2562,4606,665,5015
2024-03-10,2694,5213,634,4966
2024-03-17,2702,5406,608,4981
2024-03-24,2752,5424,557,5235
2024-03-31,2534,5091,617,5450
2024-04-07,2644,5675,540,6257
2024-04-14,2689,5777,585,6169
2024-04-21,2943,6384,524,6723
2024-04-28,2838,6249,626,7209
2024-05-05,2689,5883,523,6938
2024-05-12,2828,5662,676,7071
2024-05-19,2981,5966,853,8277
2024-05-26,3008,6384,651,8455
2024-06-02,2997,6483,669,8467
2024-06-09,3115,6588,615,7489
2024-06-16,3213,6496,900,7443
2024-06-23,3244,7254,720,6931
2024-06-30,2978,7164,651,7082
2024-07-07,2947,7042,583,6835
2024-07-14,2882,7032,651,7753
2024-07-21,3009,7317,593,8252
2024-07-28,2827,6995,742,8907
2024-08-04,2837,6668,943,9382
2024-08-11,2867,6234,718,8598
2024-08-18,2757,5718,636,7681
2024-08-25,3121,5882,811,8863
2024-09-01,2954,6371,792,7338
2024-09-08,2830,6579,632,7163
2024-09-15,2889,6940,895,7697
2024-09-22,2667,7062,565,7989
2024-09-29,2805,6778,515,8279
2024-10-06,2720,6497,495,7545
2024-10-13,3131,6774,670,7925
2024-10-20,4041,7011,914,8147
2024-10-27,1860,5190,558,3916
2024-11-03,1817,5076,520,3667
2024-11-10,1860,5318,528,3512
2024-11-17,1933,5502,509,3590
2024-11-24,1879,5454,470,3795
2024-12-01,1865,5413,470,3472
2024-12-08,1877,5373,413,3733
2024-12-15,1844,4605,412,3764
2024-12-22,1750,4324,426,3702
2024-12-29,1522,2857,432,3022
2025-01-05,1605,3036,220,3156
2025-01-12,1772,4235,359,3634
2025-01-19,1712,4428,395,3806
2025-01-26,1755,4693,424,3738
2025-02-02,1690,4508,331,3668
2025-02-09,1806,4585,368,3564
2025-02-16,1847,4437,282,3628
2025-02-23,1823,4738,319,3674
2025-03-02,1737,4610,365,3626
2025-03-09,1741,4560,375,3631
2025-03-16,1717,4918,428,3800
2025-03-23,1722,4496,390,3674
2025-03-30,1758,4397,364,3443
2025-04-06,1674,4242,244,3425
2025-04-13,1730,4516,248,3412
2025-04-20,1651,4153,362,3277
2025-04-27,0,3985,2000,3412
2025-05-04,0,3711,1978,3506